REF.,PICTURE,ITEM NO.,SEC.,DESCRIPTION,CTN,PACKING,T-PCS,COST,TOTAL,SALE,"WAREHOSE
STOCK",ABUDHABI,AJMAN,AVENUE,AL SAFA,BANIYAS,FAHIDI,SHARJAH
DTD-1238 W.HOUSE,,FH-33972,LUGAGE BAGS,BAG/X-152#简约PU化妆包,2,240 ,480 ,4.75,2279.37 ,10.99,,,,80,4,57,,
DTD-1238 W.HOUSE,,FH-33973,LUGAGE BAGS,BAG/X-194#简约PU化妆包,2,240 ,480 ,3.54,1701.18395,8.99,,,,-33,18,2,,
DTD-1238 W.HOUSE,,FH-33974,LUGAGE BAGS,BAG/X-197#简约PU化妆包,2,240 ,480 ,4.73,2271.435624,10.99,,,,79,25,3,,
DTD-1238 W.HOUSE,,FH-33975,LUGAGE BAGS,BAG/X-152#简约PU化妆包,2,240 ,480 ,3.61,1731.45 ,8.99,,,,80,74,33,,
DTD-1238 W.HOUSE,,FH-33976,LUGAGE BAGS,BAG/X-208#简约PU化妆包,2,240 ,480 ,3.52,1688.422523,8.99,,,,-4,18,,,
DTD-1238 W.HOUSE,,FH-33977,LUGAGE BAGS,BAG/X-158-3#简约PU化妆包,2,240 ,480 ,4.73,2271.435624,10.99,,,,80,26,,,
DTD-1238 W.HOUSE,,FH-33978,LUGAGE BAGS,BAG/X-804#简约PU化妆包,2,240 ,480 ,5.41,2598.21 ,10.99,,,,0,,,,
DTD-1238 W.HOUSE,,FH-33979,LUGAGE BAGS,BAG/X-152#棋盘格化妆包,2,240 ,480 ,4.75,2279.370406,10.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33980,LUGAGE BAGS,BAG/X-194#棋盘格化妆包,2,240 ,480 ,3.54,1701.18395,8.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33981,LUGAGE BAGS,BAG/X-197#棋盘格化妆包,2,240 ,480 ,4.73,2271.44 ,10.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33982,LUGAGE BAGS,BAG/X-152#棋盘格化妆包,2,240 ,480 ,3.61,1731.45123,8.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33983,LUGAGE BAGS,BAG/X-208#棋盘格化妆包,2,240 ,480 ,3.52,1688.422523,8.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33984,LUGAGE BAGS,BAG/X-158-3#棋盘格化妆包,2,240 ,480 ,4.73,2271.44 ,10.99,,,,80,,,,
DTD-1238 W.HOUSE,,FH-33985,LUGAGE BAGS,BAG/X-804#棋盘格化妆包,2,240 ,480 ,5.41,2598.213343,10.99,,,,65,,,,
DTD-1238 W.HOUSE,,FH-34204,LUGAGE BAGS,LUNCH BAG/248#大号笑脸便当包,10,100 ,1000 ,5.21,5212.93 ,9.48,,,,12,,,,
DTD-1247 W.HOUSE,,FH-33138,LUGAGE BAGS,BAG/拼接款沙滩包56*36*16CM,10,100 ,1000 ,7.38,7384.84,10.99,,,,-68,,,,
DTD-1247 W.HOUSE,,FH-33139,LUGAGE BAGS,BAG/树叶图案沙滩包56*36*16CM,10,100 ,1000 ,7.38,7384.84,10.99,,,,73,,,,
DTD-1257 W.HOUSE,,FH-34640,LUGAGE BAGS,BAG/1225-2#迪拜手提包,6,72 ,432 ,3.88,1677.734373,10.99,,,,42,,,,
DTD-1257 W.HOUSE,,FH-34642,LUGAGE BAGS,BAG/1225-4#迪拜麻料手提包,4,100 ,400 ,4.57,1826.26036,10.99,,,,100,,,,
DTD-1258 W.HOUSE,,FH-34027,LUGAGE BAGS,HANDBAG/CY2410358#手提包,3,12,36 ,12.26,441.3933963,20.99,,,,,,,,
DTD-1258 W.HOUSE,,FH-34028,LUGAGE BAGS,HANDBAG/CY2410359#手提包,3,12,36 ,12.26,441.3933963,20.99,,,,0,,,,
