REF.,PICTURE,ITEM NO.,SEC.,DESCRIPTION,CTN,PACKING,T-PCS,COST,TOTAL,SALE,"WAREHOSE
STOCK",ABUDHABI,AJMAN,AVENUE,AL SAFA,BANIYAS,FAHIDI,SHARJAH
DTD-1236 W.HOUSE,,FH-23280,STATIONERY,TOY/轻泥8848,15,120 ,1800 ,2.04,3665.31,4.99,,4,1,90,19,88,62,
DTD-1236 W.HOUSE,,FH-26392,STATIONERY,TOY/拼图玩具#字母板混装,2,80 ,160 ,4.35,695.93,7.99,90,-1,2,12,14,25,12,
DTD-1236 W.HOUSE,,FH-26415,STATIONERY,TOY/拼图玩具#807B画板,2,36 ,72 ,11.21,806.83,20.99,12,14,5,,10,20,4,
DTD-1236 W.HOUSE,,FH-26416,STATIONERY,TOY/拼图玩具#ML计算珠画板,2,24 ,48 ,13.45,645.50,20.99,14,4,7,2,7,,,-1
DTD-1236 W.HOUSE,,FH-26427,STATIONERY,TOY/拼图玩具#808画板,2,12 ,24 ,23.55,565.21,39.00,,,,4,2,1,,4
DTD-1238 W.HOUSE,,DTD-10565,STATIONERY,PENCIL-CASE/5361,1,144 ,144 ,5.49,790.2858124,10.99,14,,-9,,4,20,50,28
DTD-1238 W.HOUSE,,DTD-10582,STATIONERY,PENCIL-CASE/6528,2,120 ,240 ,11.71,2809.627637,20.99,10,20,70,,18,2,18,28
DTD-1238 W.HOUSE,,DTD-10583,STATIONERY,PENCIL-CASE/笔袋6525,1,120 ,120 ,11.99,1438.659972,20.99,62,22,-2,,25,3,26,-20
DTD-1238 W.HOUSE,,FH-26230,STATIONERY,PENCIL/7016#文具套装,1,192,192 ,2.36,454.0680736,4.99,12,15,20,10,30,2,,40
DTD-1246 W.HOUSE,,FH-23176,STATIONERY,TOY/彩泥玩具#2274,10,48 ,480 ,3.59,1725.07,6.99,4,57,0,,18,,,1
DTD-1247 W.HOUSE,,FH-23280,STATIONERY,TOY/轻泥8848,20,120 ,2400 ,2.12,5097.38,3.99,18,2,,22,26,,,2
DTD-1247 W.HOUSE,,FH-23283,STATIONERY,TOY/彩泥348,15,24 ,360 ,8.29,2984.49,15.99,25,3,,-5,,,,57
DTD-1248 W.HOUSE,,DTD-10264-1,STATIONERY,STATIONERY-SET/文具套装,10,64 ,640 ,10.11,6469.08,20.99,74,33,,55,,,,73
DTD-1248 W.HOUSE,,FH-21556,STATIONERY,STATIONERY-SET/文具套装,10,96 ,960 ,7.51,7208.02,10.99,18,,,54,,,,-7
DTD-1248 W.HOUSE,,FH-21557,STATIONERY,STATIONERY-SET/文具套装,10,80 ,800 ,7.03,5620.26,10.99,26,,,4,,,,-9
DTD-1248 W.HOUSE,,FH-21558,STATIONERY,STATIONERY-SET/文具套装,10,72 ,720 ,7.68,5526.97,10.99,,20,,5,,,,176
DTD-1248 W.HOUSE,,FH-21562,STATIONERY,STATIONERY-SET/文具套装,10,72 ,720 ,6.72,4840.25,10.99,20,54,40,16,100,1,10,141
DTD-1248 W.HOUSE,,FH-21565,STATIONERY,STATIONERY-SET/文具套装,10,120 ,1200 ,7.60,9114.66,10.99,,4,1,90,50,,62,
DTD-1250 W.HOUSE,,DTD-10565,STATIONERY,PENCIL-CASE/5361,5,144 ,720 ,5.45,3927.48,10.99,90,-1,2,128,,20,12,
DTD-1250 W.HOUSE,,DTD-10566,STATIONERY,PENCIL-CASE/笔袋2301,5,144 ,720 ,6.44,4637.79,10.99,128,144,57,140,20,54,4,87
DTD-1250 W.HOUSE,,FH-26022,STATIONERY,PEN/XC-201#水笔,2,120 ,240 ,6.09,1461.22,10.99,10,42,73,19,,4,18,-1
